"What's up?","greetings"
"hola como estas","greetings"
"Hola","greetings"
"hiya","greetings"
"hi to whom had like","greetings"
"hi there","greetings"
"Hi, my name is Michel","greetings"
"hi how are u","greetings"
"hi","greetings"
"hey there","greetings"
"heya","greetings"
"Hello Watson","greetings"
"Hello, My name is John?","greetings"
"hello, my name is esteban","greetings"
"Hello","greetings"
"good morning","greetings"
"good how are you","greetings"
"good day","greetings"
"Good afternoon.","greetings"
"good","greetings"
"g'day","greetings"
"feeling bit low","greetings"
"fdsafsaHi watson","greetings"
"ciao","greetings"
"buenos dias","greetings"
"bonjour","greetings"
"aloha","greetings"
"yo my man","greetings"
"yo","greetings"
"yello","greetings"
"What's up ?","greetings"
"What's up","greetings"
"what r u doing","greetings"
"sup","greetings"
"say hello to me","greetings"
"namaste","greetings"
"I would like you to say hello","greetings"
"howdy","greetings"
"How are you doing","greetings"
"let me out","negative_reaction"
"You're asking me too much","negative_reaction"
"You don't know anything","negative_reaction"
"You are bad","negative_reaction"
"when will you die","negative_reaction"
"What good are you anyway?","negative_reaction"
"put up with it","negative_reaction"
"Let me out!","negative_reaction"
"i want you to die","negative_reaction"
"Its not that good","negative_reaction"
"i dont want u to do anything","negative_reaction"
"I didn't say anything about weather.","negative_reaction"
"go **** yourself","negative_reaction"
"go and fuck you off","negative_reaction"
"Get out of my car!","negative_reaction"
"die","negative_reaction"
"can you understand me","negative_reaction"
"bad","negative_reaction"
"are you dead yet","negative_reaction"
"Thanks!","positive_reaction"
"you are funny","positive_reaction"
"This is good","positive_reaction"
"This is awesome","positive_reaction"
"Thank you very much","positive_reaction"
"Thank you","positive_reaction"
"thanks you are  funy","positive_reaction"
"Thanks Watson","positive_reaction"
"Thanks u","positive_reaction"
"Thanks mate","positive_reaction"
"Thanks man","positive_reaction"
"thanks for your support","positive_reaction"
"thanks for","positive_reaction"
"thanks dude","positive_reaction"
"thanks a truck","positive_reaction"
"Thanks.","positive_reaction"
"Thanks","positive_reaction"
"OK thanks","positive_reaction"
"ok, thanks","positive_reaction"
"nice. thanks.","positive_reaction"
"great! thanks!","positive_reaction"
"great, thanks!","positive_reaction"
"great, thanks","positive_reaction"
"excellent, thanks","positive_reaction"
"Alright. Thanks!","positive_reaction"
"check the wether","weather"
"check the weather","weather"
